url,snippet
https://www.nytimes.com/2018/09/02/world/africa/south-africa-tax-agency-bain.html,"Bain and Company said it intended to improve the nation’s tax agency, “not to destroy it.” Now, a corruption inquiry is looking at how the agency was left facing crippling tax shortfalls."
https://www.nytimes.com/2018/09/02/world/americas/national-museum-brazil-fire.html,"The National Museum of Brazil in Rio de Janeiro housed more than 20 million items, including Egyptian mummies, dinosaur fossils and the oldest human fossil in the region."
https://www.nytimes.com/2018/08/31/sports/us-open-serena-venus-williams.html,"A resounding 6-1, 6-2 victory over her sister Venus highlighted a resurgent U.S. Open run with only 11 games lost."
https://www.nytimes.com/2018/09/01/style/new-york-beaches.html,"To love New York’s beaches is to love the people, too."
https://www.nytimes.com/2018/09/01/style/fire-financial-independence-retire-early.html,"Fed up with their high-pressure jobs, some millennials are quitting and embracing the FIRE movement. (It stands for financial independence, retire early). "
https://www.nytimes.com/2018/09/01/us/politics/john-mccain-funeral.html,"Barack Obama and George W. Bush were among the political figures from both parties who came to mourn not just a giant of the Senate, but also an ideal that he represented."
https://www.nytimes.com/2018/09/01/admin/10-recipes-readers-love.html,"Blond puttanesca, classic tiramisù and more recipes for the weekend."
https://www.nytimes.com/2018/09/01/world/americas/mexico-violence-police.html,"A policing strategy that aims to win citizens’ trust and improve their quality of life has reduced violence in Morelia, Mexico — but it may not last."
https://www.nytimes.com/2018/08/31/crosswords/daily-puzzle-2018-09-01.html,Don’t try to slip through Randolph Ross’s toothsome puzzle. 
https://www.nytimes.com/2018/09/03/opinion/evangelical-brett-kavanaugh-civil-rights.html,My faith compels me to challenge the way reactionary conservatives have hijacked our faith to serve their narrow interests.
https://www.nytimes.com/2018/09/03/opinion/midterms-healthcare-bankrupt.html,What the midterms mean for the future of health care.
https://www.nytimes.com/2018/09/03/us/politics/trump-sessions-midterms.html,"The president, in a pair of tweets, said the Justice Department was putting the re-election chances of two “popular” Republican lawmakers at risk."
https://www.nytimes.com/2018/09/02/business/week-ahead-big-tech-testifies-senate.html,"The newest jobs numbers are expected to show healthy gains, and Detroit automakers will report sales for August."
https://www.nytimes.com/2018/09/02/crosswords/daily-puzzle-2018-09-03.html,Trent H. Evans is off to a great start in his New York Times Crossword debut. 
https://www.nytimes.com/2018/09/03/opinion/midterms-healthcare-bankrupt.html,What the midterms mean for the future of health care.
https://www.nytimes.com/2018/09/03/us/politics/trump-sessions-midterms.html,"The president, in a pair of tweets, said the Justice Department was putting the re-election chances of two “popular” Republican lawmakers at risk."
https://www.nytimes.com/2018/09/03/opinion/trump-palestinians-unrwa-funding.html,Cutting funding for an agency that helps Palestinian refugees isn’t negotiating. It’s cruel.
https://www.nytimes.com/2018/09/03/opinion/evangelical-brett-kavanaugh-civil-rights.html,My faith compels me to challenge the way reactionary conservatives have hijacked our faith to serve their narrow interests.
https://www.nytimes.com/interactive/2018/09/03/opinion/labor-day-quiz.html,"Relax! This will be fun, not work."
https://www.nytimes.com/2018/09/01/fashion/weddings/act-ii-the-conversation-picks-up-romance-ensues.html,"His poor audition choice and ‘zero social skills’ were memorable the first time they met. But, years later, their connection was spot on."
https://www.nytimes.com/2018/09/01/fashion/weddings/finally-intentionally-in-the-same-place.html,"The couple met in 2012 through a leadership-training program in New York, and a year later, their friendship took a romantic turn."
https://www.nytimes.com/2018/09/02/arts/television/adventure-time-animators-reflect-on-its-legacy.html,Many creators of popular series like “Steven Universe” worked on “Adventure Time.”
https://www.nytimes.com/2018/09/01/us/gillum-florida-governor-tallahassee.html,Andrew Gillum says he’s not a target of an investigation of alleged corruption in Tallahassee. But it’s likely to shadow his run anyway.
https://www.nytimes.com/2018/09/02/opinion/idlib-syria-jihadists-democracy.html,The Assad regime’s imminent assault on Idlib will empower jihadists and crush the last of the revolution’s democrats. Why is the world standing by?
https://www.nytimes.com/2018/09/01/sports/tennis/us-open-angelique-kerber.html,Fourth-seeded Angelique Kerber and fifth-seeded Petra Kvitova became the latest top players to exit the Open at its newest court.
https://www.nytimes.com/2018/09/02/arts/u2-bono-loses-voice.html,"It was not immediately clear what caused the singer to lose his voice but a doctor said a likely explanation was laryngitis, which could be treated in a few days."
https://www.nytimes.com/2018/09/02/health/ebola-virus-congo-outbreak-2018.html,"New cases are dropping sharply, vaccination is going well and schools are about to open. But it is too soon to declare victory, experts said."
https://www.nytimes.com/2018/09/02/business/the-villages-newspaper.html,A Florida newspaper that caters to retirees is bucking the digital trend as other publications around the country face layoffs and closures.
